client,server,mean_speed_mega
cei3,cei2,9410.00
cei3,cei2,9420.00
cei3,cei2,9410.00
cei5,cei4,9410.00
cei5,cei4,9420.00
cei5,cei4,9410.00
draco4,draco3,940
draco4,draco3,941
draco4,draco3,942
draco4,draco3,942
draco4,draco3,941
draco4,draco3,942
poti2,poti1,940
poti2,poti1,940
poti2,poti1,941
poti4,poti3,941
poti4,poti3,940
poti4,poti3,941
tupi4,tupi3,941
tupi4,tupi3,942
tupi4,tupi3,942
tupi4,tupi3,942
tupi4,tupi3,942
tupi4,tupi3,942
